Region, cost_2017_18 , cost_2018_19 , cost_2019_20 , cost_2020_21 ,cost_2021_22
Auckland,474681945,624477693,883261084,872880933,705504844
Bay of Plenty,15652525,19107900,23715900,25712615,28471381
Canterbury,49681315,52943061,62138716,74210578,79525760
Gisborne,477490,656398,694798,738158,1331511
Hawkes Bay,3959879,4498194,4789731,5382726,5641083
Manawatu-Whanganui,6762028,7992445,8052950,8021494,8544562
Marlborough-Nelson-Tasman,1605334,2144516,2850120,3531140,3363067
New Zealand,757439326,948441406,1249080428,1265331235,1171105837
Northland,2362072,2563358,2916371,3289748,3180730
Otago,16435498,25198898,20053117,23134962,25145010
Region Not Known,6921979,6895880,5567671,6740577,12568251
Southland,1708110,1637562,1963678,2110387,2065189
Taranaki,3384201,3646740,3885010,4264451,4846034
Waikato,19892514,24286188,27669820,39600101,34736921
Wellington,153749123,172233494,201349440,195495846,255953399
West Coast,165313,159079,172022,217519,228095
