Region, 2017/18 , 2018/19 , 2019/20 , 2020/21 ,2021/22
Auckland,366972818.0,373118056.0,398769456.0,398693355.0,420019164.0
Bay of Plenty,97081175.0,114634720.0,105619021.0,106536134.0,108238396.0
Canterbury,709219668.0,354610625.0,241547171.0,214899228.0,215556006.0
Chatham Islands,3467508.0,3252184.0,3938184.0,3286249.0,3609857.0
Gisborne,39967420.0,64818613.0,60156882.0,53713866.0,74891238.0
Hawkes Bay,63160720.0,73141582.0,68407574.0,74790325.0,77234069.0
Manawatu-Whanganui,122722878.0,117547848.0,120009015.0,117917777.0,119470954.0
Marlborough-Nelson-Tasman,98949784.0,70258840.0,59853144.0,78183395.0,124598890.0
New Zealand,2242867316.0,1928294911.0,1826630369.0,1869894030.0,1993105627.0
Northland,115449590.0,98750357.0,94811454.0,130431961.0,122649184.0
Otago,120604445.0,124853240.0,116032755.0,117199383.0,122908224.0
Region Not Known,2772889.0,3791671.0,4852967.0,5842857.0,3960017.0
Southland,56948027.0,61340556.0,66910382.0,70878242.0,73104819.0
Taranaki,49489972.0,53059323.0,50492757.0,60381148.0,76264430.0
Waikato,225409174.0,216657776.0,239967196.0,243806333.0,236271373.0
Wellington,131591088.0,134670655.0,127193572.0,141541883.0,159376490.0
West Coast,39060160.0,63788865.0,68068839.0,51791894.0,54952516.0
