,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,longitude,latitude
103175,164691,,538102.0,0.0,0.0,0.0,0.0,0.0,South,2022/2023,15TH AVENUE,CAMERON ROAD,Minor Crash,No,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,1167700.0,1.0,0.0,0.0,3.0,,,0.0,,0.0,1.0,0.0,0.0,Bay of Plenty Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,30.0,23.0,Tauranga City,Nil,,,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Fine,Null,176.154967996171,-37.704464912321
103186,164702,,539600.0,0.0,0.0,0.0,1.0,0.0,East,2022/2023,BELLINGHAM CRESCENT,FORD ROAD,Serious Crash,No,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1228400.0,0.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,Bay of Plenty Region,Nil,2-way,Sealed,,0.0,1.0,0.0,50.0,0.0,On,0.0,0.0,,24.0,Rotorua District,Nil,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,176.22575378457,-38.1453857416313
103218,164734,,535000.0,0.0,0.0,0.0,2.0,0.0,Null,2022/2023,SEDDON STREET,MCGOWAN STREET,Minor Crash,Yes,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,1111700.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Waikato Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,15.0,Matamata-Piako District,Nil,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,175.753484626722,-37.7631394950192
103231,164747,,508411.0,0.0,0.0,0.0,0.0,0.0,South,2022/2023,LYNN ROAD,HALE CRESCENT,Minor Crash,No,2023,0.0,North,0.0,0.0,0.0,Hill Road,0.0,,0.0,0.0,Dark,185102.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Auckland Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,,76.0,Auckland,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Fine,Null,174.702997879258,-36.774904082596
103233,164749,,587702.0,0.0,0.0,0.0,4.0,0.0,Null,2022/2023,SPRINGS ROAD,CORSAIR DRIVE,Minor Crash,No,2023,0.0,South,0.0,0.0,1.0,Flat,1.0,,0.0,0.0,Overcast,2481402.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canterbury Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,60.0,Christchurch City,Traffic Signals,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain,Null,172.54299553955,-43.54601071851
103234,164750,,573101.0,0.0,0.0,0.0,3.0,0.0,East,2022/2023,VIVIAN STREET,TARANAKI STREET,Minor Crash,Yes,2023,0.0,East,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,2134200.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Wellington Region,Nil,1-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,47.0,Wellington City,Nil,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,174.778259276961,-41.295852660371
103235,164751,,512903.0,0.0,0.0,0.0,2.0,0.0,Null,2022/2023,PARRS CROSS ROAD,LEGACY DRIVE,Minor Crash,No,2023,0.0,West,0.0,0.0,0.0,Hill Road,0.0,,0.0,0.0,Overcast,278006.0,2.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,76.0,Auckland,Give way,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain,Null,174.624618285161,-36.9046723552833
103236,164752,,610061.0,0.0,0.0,0.0,1.0,0.0,South,2022/2023,GROVE BUSH WOODLANDS ROAD,TUSSOCK CREEK GROVE BUSH ROAD,Fatal Crash,No,2023,0.0,South,0.0,1.0,1.0,Hill Road,0.0,,0.0,0.0,Dark,3089300.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southland Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,73.0,Southland District,Nil,0.0,0.0,0.0,1.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,168.479794119689,-46.2934044430424
103238,164754,,585807.0,0.0,0.0,0.0,2.0,0.0,East,2022/2023,DIXONS ROAD,ROSSITERS ROAD,Serious Crash,No,2023,0.0,East,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,2438805.0,0.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Canterbury Region,Nil,2-way,Sealed,,0.0,1.0,0.0,100.0,0.0,Off,0.0,0.0,,59.0,Waimakariri District,Nil,,,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,172.568471241918,-43.2671446452706
103239,164755,,574303.0,0.0,0.0,0.0,1.0,0.0,South,2022/2023,CENTENNIAL HIGHWAY,ABATTOIRS,Minor Crash,Yes,2023,0.0,North,0.0,0.0,0.0,Hill Road,0.0,,0.0,0.0,Overcast,2088705.0,1.0,0.0,0.0,3.0,,,0.0,,0.0,0.0,0.0,0.0,Wellington Region,Nil,1-way,Sealed,,0.0,0.0,0.0,100.0,0.0,Off,0.0,0.0,,47.0,Wellington City,Nil,,,0.0,0.0,0.0,0.0,Open,1.0,0.0,0.0,Light rain,Null,174.807021619138,-41.2394045679008
